,synthesis time(ms),expanded transitions,expanded states,n,k,problem,nfeatures,training time,training steps,eta,nnsize,epsilon,avg q,idx,controllable,depth,state unexplorability,state marked,child marked,child goal,child error,child none,child deadlock,uncontrollability child,unexplorability child
0,31.0,247,147,2,2,DP,11,1.1431102752685547,2000,1e-05,20,0.1,-0.5996527,0,0.96632504,-0.6525501,0.7079871,-0.8553059,2.020924,-1.7881393e-06,-2.0296278,-1.0665007,4.248031,3.304246,-2.3294806
1,11742.0,6636,2719,3,3,DP,11,1.1431102752685547,2000,1e-05,20,0.1,-0.5996527,0,0.96632504,-0.6525501,0.7079871,-0.8553059,2.020924,-1.7881393e-06,-2.0296278,-1.0665007,4.248031,3.304246,-2.3294806
2,28.0,294,162,2,2,DP,11,6.695326805114746,12000,1e-05,20,0.1,-7.8529663,5,-0.1323217,-0.54334456,-2.8149972,-0.61600095,1.065031,-4.7683716e-07,-1.48389,-2.0515006,2.2974308,-1.0722675,-3.0322843
3,2123.0,2635,1205,3,3,DP,11,6.695326805114746,12000,1e-05,20,0.1,-7.8529663,5,-0.1323217,-0.54334456,-2.8149972,-0.61600095,1.065031,-4.7683716e-07,-1.48389,-2.0515006,2.2974308,-1.0722675,-3.0322843
4,38.0,239,133,2,2,DP,11,12.121217727661133,22000,1e-05,20,0.1,-35.5927,10,-0.49613035,-0.76887006,-2.5010676,-0.5875637,0.483922,2.3841858e-07,-1.6184087,-1.9644781,0.7494711,-2.3164372,-3.3596888
5,678.0,1771,790,3,3,DP,11,12.121217727661133,22000,1e-05,20,0.1,-35.5927,10,-0.49613035,-0.76887006,-2.5010676,-0.5875637,0.483922,2.3841858e-07,-1.6184087,-1.9644781,0.7494711,-2.3164372,-3.3596888
6,55.0,283,164,2,2,DP,11,17.581056833267212,32000,1e-05,20,0.1,-66.7815,15,-0.23098424,-1.4812101,-1.8581574,-0.6114863,0.83653903,9.536743e-07,-3.824718,-3.5990226,-0.16981867,-3.5410752,-4.5618353
7,3866.0,4585,1936,3,3,DP,11,17.581056833267212,32000,1e-05,20,0.1,-66.7815,15,-0.23098424,-1.4812101,-1.8581574,-0.6114863,0.83653903,9.536743e-07,-3.824718,-3.5990226,-0.16981867,-3.5410752,-4.5618353
8,42.0,179,128,2,2,DP,11,23.137696027755737,42000,1e-05,20,0.1,-84.9272,20,0.3868186,-0.98826206,-1.0188468,0.38553748,0.63195443,9.536743e-07,-5.483325,-4.741963,-1.0410659,-3.1495254,-5.2744026
9,1132.0,1799,1041,3,3,DP,11,23.137696027755737,42000,1e-05,20,0.1,-84.9272,20,0.3868186,-0.98826206,-1.0188468,0.38553748,0.63195443,9.536743e-07,-5.483325,-4.741963,-1.0410659,-3.1495254,-5.2744026
10,10.0,85,62,2,2,DP,11,28.38497042655945,52000,1e-05,20,0.1,-63.825687,25,0.6328961,-0.21482635,-0.60271645,1.5142143,1.683504,1.1920929e-06,-4.074208,-2.8470736,-0.7535221,-1.7808964,-3.1507833
11,1855.0,2111,1231,3,3,DP,11,28.38497042655945,52000,1e-05,20,0.1,-63.825687,25,0.6328961,-0.21482635,-0.60271645,1.5142143,1.683504,1.1920929e-06,-4.074208,-2.8470736,-0.7535221,-1.7808964,-3.1507833
12,12.0,101,68,2,2,DP,11,33.66098952293396,62000,1e-05,20,0.1,-63.033237,30,0.70555663,-0.31614637,-0.69378525,1.7366979,1.7339181,7.1525574e-07,-3.3777897,-2.2342534,-0.5608075,-1.5225447,-2.638413
13,1864.0,2357,1282,3,3,DP,11,33.66098952293396,62000,1e-05,20,0.1,-63.033237,30,0.70555663,-0.31614637,-0.69378525,1.7366979,1.7339181,7.1525574e-07,-3.3777897,-2.2342534,-0.5608075,-1.5225447,-2.638413
14,11.0,94,65,2,2,DP,11,38.85127115249634,72000,1e-05,20,0.1,-59.119026,35,0.8917192,-0.15325212,-0.38253415,1.9330754,1.8882288,2.3841858e-07,-2.6112747,-1.6740962,-0.31957877,-1.0963814,-1.9449294
15,2425.0,2612,1409,3,3,DP,11,38.85127115249634,72000,1e-05,20,0.1,-59.119026,35,0.8917192,-0.15325212,-0.38253415,1.9330754,1.8882288,2.3841858e-07,-2.6112747,-1.6740962,-0.31957877,-1.0963814,-1.9449294
16,32.0,196,124,2,2,DP,11,44.064616680145264,82000,1e-05,20,0.1,-67.827705,40,0.84363234,-0.33807397,-0.7691372,1.536713,1.9921176,9.536743e-07,-2.8417585,-2.2134514,-0.2640287,-1.0445974,-2.515693
17,3965.0,3244,1670,3,3,DP,11,44.064616680145264,82000,1e-05,20,0.1,-67.827705,40,0.84363234,-0.33807397,-0.7691372,1.536713,1.9921176,9.536743e-07,-2.8417585,-2.2134514,-0.2640287,-1.0445974,-2.515693
18,12.0,106,68,2,2,DP,11,49.26879048347473,92000,1e-05,20,0.1,-74.04673,45,1.0560066,-0.3363235,-1.0010431,1.1868091,1.704266,7.1525574e-07,-3.3024688,-2.4842317,-0.17579393,-0.93071616,-3.2075007
19,899.0,1389,913,3,3,DP,11,49.26879048347473,92000,1e-05,20,0.1,-74.04673,45,1.0560066,-0.3363235,-1.0010431,1.1868091,1.704266,7.1525574e-07,-3.3024688,-2.4842317,-0.17579393,-0.93071616,-3.2075007
20,8.0,107,68,2,2,DP,11,54.465004682540894,102000,1e-05,20,0.1,-77.332115,50,1.018483,-0.5176573,-1.0841126,0.86752665,1.731734,2.3841858e-07,-3.3990362,-2.2953544,0.06669822,-0.8003185,-3.0440605
21,679.0,1536,865,3,3,DP,11,54.465004682540894,102000,1e-05,20,0.1,-77.332115,50,1.018483,-0.5176573,-1.0841126,0.86752665,1.731734,2.3841858e-07,-3.3990362,-2.2953544,0.06669822,-0.8003185,-3.0440605
22,38.0,208,126,2,2,DP,11,59.72791528701782,112000,1e-05,20,0.1,-90.29523,55,0.60825396,-0.64769876,-0.9129977,0.14618964,1.161032,9.536743e-07,-3.889335,-2.4475641,-0.0665299,-1.3926456,-4.0329432
23,2049.0,2198,1158,3,3,DP,11,59.72791528701782,112000,1e-05,20,0.1,-90.29523,55,0.60825396,-0.64769876,-0.9129977,0.14618964,1.161032,9.536743e-07,-3.889335,-2.4475641,-0.0665299,-1.3926456,-4.0329432
24,9.0,73,55,2,2,DP,11,65.01703214645386,122000,1e-05,20,0.1,-81.91044,60,0.89618057,-0.030411482,-0.51669407,0.90174484,1.7274132,4.7683716e-07,-3.5697746,-2.2482035,-0.01503396,-0.731299,-2.768732
25,2220.0,2152,1251,3,3,DP,11,65.01703214645386,122000,1e-05,20,0.1,-81.91044,60,0.89618057,-0.030411482,-0.51669407,0.90174484,1.7274132,4.7683716e-07,-3.5697746,-2.2482035,-0.01503396,-0.731299,-2.768732
26,14.0,109,69,2,2,DP,11,70.27595043182373,132000,1e-05,20,0.1,-86.382576,65,1.002332,-0.21883678,-0.833565,0.9157831,1.5589032,2.3841858e-07,-2.8439527,-1.6249194,0.18973,-0.58263683,-2.4553297
27,771.0,1693,840,3,3,DP,11,70.27595043182373,132000,1e-05,20,0.1,-86.382576,65,1.002332,-0.21883678,-0.833565,0.9157831,1.5589032,2.3841858e-07,-2.8439527,-1.6249194,0.18973,-0.58263683,-2.4553297
28,7.0,96,64,2,2,DP,11,75.55202603340149,142000,1e-05,20,0.1,-87.719955,70,0.91950047,-0.4656415,-0.365857,1.3359965,1.4722722,0.0,-2.59155,-1.3576894,0.13742822,-0.5017399,-2.084335
29,234.0,730,404,3,3,DP,11,75.55202603340149,142000,1e-05,20,0.1,-87.719955,70,0.91950047,-0.4656415,-0.365857,1.3359965,1.4722722,0.0,-2.59155,-1.3576894,0.13742822,-0.5017399,-2.084335
30,6.0,77,52,2,2,DP,11,80.78828740119934,152000,1e-05,20,0.1,-65.45179,75,0.7729772,0.01144886,-0.08273268,1.3503882,1.7992485,0.0,-2.00133,-0.6300319,0.5400131,0.14766121,-1.267618
31,323.0,1000,501,3,3,DP,11,80.78828740119934,152000,1e-05,20,0.1,-65.45179,75,0.7729772,0.01144886,-0.08273268,1.3503882,1.7992485,0.0,-2.00133,-0.6300319,0.5400131,0.14766121,-1.267618
32,4.0,60,43,2,2,DP,11,86.02455592155457,162000,1e-05,20,0.1,-73.789116,80,0.6123295,-0.6367847,-0.32935637,1.0103844,1.6728138,2.3841858e-07,-2.5791168,-1.3396187,0.23924959,-0.29195184,-1.9806659
33,2642.0,2348,1220,3,3,DP,11,86.02455592155457,162000,1e-05,20,0.1,-73.789116,80,0.6123295,-0.6367847,-0.32935637,1.0103844,1.6728138,2.3841858e-07,-2.5791168,-1.3396187,0.23924959,-0.29195184,-1.9806659
34,7.0,101,70,2,2,DP,11,91.31704092025757,172000,1e-05,20,0.1,-94.23606,85,0.16283605,-0.680495,-0.49893582,0.74547297,1.2311933,7.1525574e-07,-3.818209,-2.7864418,-0.4197687,-1.747778,-3.3682644
35,432.0,919,544,3,3,DP,11,91.31704092025757,172000,1e-05,20,0.1,-94.23606,85,0.16283605,-0.680495,-0.49893582,0.74547297,1.2311933,7.1525574e-07,-3.818209,-2.7864418,-0.4197687,-1.747778,-3.3682644
36,6.0,78,56,2,2,DP,11,96.68852400779724,182000,1e-05,20,0.1,-75.87704,90,0.052589588,-0.342633,-0.10784626,0.5024915,1.4291317,4.7683716e-07,-3.8133779,-1.8174167,-0.05208832,-1.026735,-2.7111013
37,74.0,366,191,3,3,DP,11,96.68852400779724,182000,1e-05,20,0.1,-75.87704,90,0.052589588,-0.342633,-0.10784626,0.5024915,1.4291317,4.7683716e-07,-3.8133779,-1.8174167,-0.05208832,-1.026735,-2.7111013
38,9.0,108,69,2,2,DP,11,102.03703045845032,192000,1e-05,20,0.1,-75.50872,95,0.6899193,-0.31639087,-0.11562356,1.2309202,1.3775843,0.0,-2.7718415,-1.5106258,-0.036714584,-0.4754004,-2.31214
39,1582.0,2037,926,3,3,DP,11,102.03703045845032,192000,1e-05,20,0.1,-75.50872,95,0.6899193,-0.31639087,-0.11562356,1.2309202,1.3775843,0.0,-2.7718415,-1.5106258,-0.036714584,-0.4754004,-2.31214
40,25.0,219,175,2,2,DP,11,107.40292406082153,202000,1e-05,20,0.1,-72.83295,100,0.8226684,-0.13403106,0.04791507,1.1832409,1.6916721,2.3841858e-07,-2.481912,-1.4050156,-0.024100423,-0.42047998,-1.4981356
41,8395.0,3822,2835,3,3,DP,11,107.40292406082153,202000,1e-05,20,0.1,-72.83295,100,0.8226684,-0.13403106,0.04791507,1.1832409,1.6916721,2.3841858e-07,-2.481912,-1.4050156,-0.024100423,-0.42047998,-1.4981356
42,13.0,106,68,2,2,DP,11,112.65920782089233,212000,1e-05,20,0.1,-73.92872,105,0.42485195,-0.4182874,-0.48094225,1.0614161,1.4662708,2.3841858e-07,-2.515013,-1.4101555,0.103293,-0.89345694,-2.011467
43,627.0,1586,713,3,3,DP,11,112.65920782089233,212000,1e-05,20,0.1,-73.92872,105,0.42485195,-0.4182874,-0.48094225,1.0614161,1.4662708,2.3841858e-07,-2.515013,-1.4101555,0.103293,-0.89345694,-2.011467
44,19.0,167,117,2,2,DP,11,117.90915584564209,222000,1e-05,20,0.1,-73.79585,110,0.7606319,-0.53162205,-0.3028041,1.2043616,1.4805247,2.3841858e-07,-2.4842987,-1.5811644,-0.03791441,-0.7460379,-2.0246341
45,1254.0,2132,1016,3,3,DP,11,117.90915584564209,222000,1e-05,20,0.1,-73.79585,110,0.7606319,-0.53162205,-0.3028041,1.2043616,1.4805247,2.3841858e-07,-2.4842987,-1.5811644,-0.03791441,-0.7460379,-2.0246341
46,6.0,79,58,2,2,DP,11,123.205575466156,232000,1e-05,20,0.1,-76.477585,115,0.36135414,-0.4740125,-0.39125872,0.8998824,1.5133121,4.7683716e-07,-2.9234262,-1.7821939,-0.2447067,-1.0563374,-2.297025
47,1255.0,1794,1007,3,3,DP,11,123.205575466156,232000,1e-05,20,0.1,-76.477585,115,0.36135414,-0.4740125,-0.39125872,0.8998824,1.5133121,4.7683716e-07,-2.9234262,-1.7821939,-0.2447067,-1.0563374,-2.297025
48,37.0,222,148,2,2,DP,11,128.4929609298706,242000,1e-05,20,0.1,-79.220436,120,0.1816055,-0.53217256,-0.68809354,0.6749582,1.2788861,7.1525574e-07,-3.2782586,-2.284478,-0.3244514,-1.7562075,-2.776919
49,2460.0,2094,1312,3,3,DP,11,128.4929609298706,242000,1e-05,20,0.1,-79.220436,120,0.1816055,-0.53217256,-0.68809354,0.6749582,1.2788861,7.1525574e-07,-3.2782586,-2.284478,-0.3244514,-1.7562075,-2.776919
50,14.0,117,75,2,2,DP,11,133.7817370891571,252000,1e-05,20,0.1,-85.01472,125,0.20770289,-0.5464783,-0.3426333,0.50982094,1.059649,1.4305115e-06,-4.324394,-3.2240026,-1.2240938,-2.0517142,-4.0632
51,3638.0,2850,1536,3,3,DP,11,133.7817370891571,252000,1e-05,20,0.1,-85.01472,125,0.20770289,-0.5464783,-0.3426333,0.50982094,1.059649,1.4305115e-06,-4.324394,-3.2240026,-1.2240938,-2.0517142,-4.0632
52,8.0,72,50,2,2,DP,11,139.0759961605072,262000,1e-05,20,0.1,-84.01491,130,-0.074647635,-0.3365519,-0.27281642,0.6528893,1.5839429,7.1525574e-07,-3.2667391,-1.985786,-0.46592104,-1.2443683,-2.8224213
53,95.0,336,176,3,3,DP,11,139.0759961605072,262000,1e-05,20,0.1,-84.01491,130,-0.074647635,-0.3365519,-0.27281642,0.6528893,1.5839429,7.1525574e-07,-3.2667391,-1.985786,-0.46592104,-1.2443683,-2.8224213
54,47.0,232,167,2,2,DP,11,144.4274742603302,272000,1e-05,20,0.1,-90.55009,135,0.4911119,-0.37784624,0.051153272,0.63033825,1.2406563,7.1525574e-07,-3.895524,-2.7651188,-0.6066309,-1.2999926,-3.1844492
55,10088.0,4513,2835,3,3,DP,11,144.4274742603302,272000,1e-05,20,0.1,-90.55009,135,0.4911119,-0.37784624,0.051153272,0.63033825,1.2406563,7.1525574e-07,-3.895524,-2.7651188,-0.6066309,-1.2999926,-3.1844492
56,45.0,220,166,2,2,DP,11,149.75639247894287,282000,1e-05,20,0.1,-85.670876,140,0.31734243,-0.2623117,-0.004641831,0.7443962,1.2142942,7.1525574e-07,-4.3745847,-3.1587741,-0.4327525,-1.1187458,-3.117046
57,14285.0,4704,2835,3,3,DP,11,149.75639247894287,282000,1e-05,20,0.1,-85.670876,140,0.31734243,-0.2623117,-0.004641831,0.7443962,1.2142942,7.1525574e-07,-4.3745847,-3.1587741,-0.4327525,-1.1187458,-3.117046
58,29.0,175,116,2,2,DP,11,155.11771607398987,292000,1e-05,20,0.1,-102.22054,145,-0.33085436,-0.63120294,-0.6836446,0.40163034,0.61067224,7.1525574e-07,-4.674718,-3.6988447,-0.79434776,-2.756013,-4.5868545
59,7354.0,3707,2076,3,3,DP,11,155.11771607398987,292000,1e-05,20,0.1,-102.22054,145,-0.33085436,-0.63120294,-0.6836446,0.40163034,0.61067224,7.1525574e-07,-4.674718,-3.6988447,-0.79434776,-2.756013,-4.5868545
60,8.0,72,54,2,2,DP,11,160.6280529499054,302000,1e-05,20,0.1,-117.40545,150,0.06640152,-0.4222753,-0.19738626,0.6857659,0.56834173,1.66893e-06,-5.3742013,-4.5758123,-1.2165798,-2.1232138,-4.9719706
61,9513.0,4383,2831,3,3,DP,11,160.6280529499054,302000,1e-05,20,0.1,-117.40545,150,0.06640152,-0.4222753,-0.19738626,0.6857659,0.56834173,1.66893e-06,-5.3742013,-4.5758123,-1.2165798,-2.1232138,-4.9719706
62,28.0,161,129,2,2,DP,11,165.9610538482666,312000,1e-05,20,0.1,-92.473015,155,0.61026216,-0.06783581,-0.292519,1.0327739,1.5457067,0.0,-2.815275,-2.041545,0.22154203,-0.3276729,-2.156393
63,14101.0,4871,2835,3,3,DP,11,165.9610538482666,312000,1e-05,20,0.1,-92.473015,155,0.61026216,-0.06783581,-0.292519,1.0327739,1.5457067,0.0,-2.815275,-2.041545,0.22154203,-0.3276729,-2.156393
64,10.0,90,63,2,2,DP,11,171.32705116271973,322000,1e-05,20,0.1,-92.20984,160,-0.19080731,-0.5042095,-0.8520041,0.55175084,0.96715117,1.1920929e-06,-3.7137284,-2.9044323,-0.7158669,-3.0828733,-3.7064495
65,1940.0,1916,1113,3,3,DP,11,171.32705116271973,322000,1e-05,20,0.1,-92.20984,160,-0.19080731,-0.5042095,-0.8520041,0.55175084,0.96715117,1.1920929e-06,-3.7137284,-2.9044323,-0.7158669,-3.0828733,-3.7064495
66,9.0,71,45,2,2,DP,11,176.72657775878906,332000,1e-05,20,0.1,-108.53097,165,-0.5185432,-0.8849708,-0.7262352,0.0658147,0.6648978,1.66893e-06,-4.4477267,-3.3741717,-1.4407698,-3.0479593,-4.470542
67,2350.0,2492,1285,3,3,DP,11,176.72657775878906,332000,1e-05,20,0.1,-108.53097,165,-0.5185432,-0.8849708,-0.7262352,0.0658147,0.6648978,1.66893e-06,-4.4477267,-3.3741717,-1.4407698,-3.0479593,-4.470542
